market,Count all,Count pure players
Aerospace,26,18
Aluminum,7,NA
Aluminum mining,7,1
Apparel Retailers,17,16
Asset Managers,30,19
Auto Parts,43,32
Automobiles,55,43
Banks,222,181
Biotechnology,27,24
Brewers,15,10
Broadcast & Entertain,34,28
Bus.Train & Employmnt,7,5
Business Support Svs.,35,20
Ceramics and glass,21,5
"Clothing, footwear and accessories",40,33
Coal,5,NA
Coal production,25,1
Coal retail,1,NA
"Comm. Vehicles,Trucks",37,29
Computer Hardware,26,21
Computer Services,29,24
Concrete and cement,30,7
Consumer Electronics,39,24
Consumer Finance,17,11
Containers & Package,18,5
Copper,3,NA
Copper Mining,23,3
Defense,11,11
Diamonds & Gemstones,2,1
Distillers & Vintners,13,12
Divers. Industrials,45,6
Diversified REITs,10,9
Drug Retailers,9,8
Dur. Household Prod.,20,13
Elec. Office Equip.,5,4
Electrical Equipment,40,38
Electricity retail,10,3
Electricity T&D,41,2
Eq. Investment Inst,11,2
Exploration and production,89,27
Farm Fish Plantation,18,9
Financial Admin.,15,12
Fixed Line Telecom.,31,24
Food and broadline retailers,67,62
Food Products,82,55
Forestry,5,1
Full Line Insurance,18,14
Furnishings,2,NA
Gambling,15,6
Gas Distribution,8,NA
Gas processing,9,NA
Gas retail,15,1
Gas storage,6,NA
Gold,2,NA
Gold Mining,19,11
Healthcare Providers,30,23
Heavy Construction,56,37
Home Construction,15,10
Home Improvement Ret.,8,7
Hotels,32,8
Ind. & Office REITs,24,19
Industrial Machinery,60,44
Industrial Suppliers,12,7
Insurance Brokers,5,4
Internet,20,18
Investment Services,59,53
Iron & Steel,39,18
Iron ore mining,6,NA
Life Insurance,58,42
Lithium,6,NA
Lithium mining,2,NA
Media Agencies,13,12
Medical Equipment,23,16
Medical Supplies,16,15
Metal product retail,1,NA
Mobile Telecom.,40,35
Mortgage Finance,6,2
Mortgage REITs,2,2
Multiutilities,18,2
Nickel mining,4,NA
Nondur.Household Prod,7,6
Nonferrous Metals,11,NA
O&G T&D,72,4
Oil and gas other,18,3
Oil Equip. & Services,24,8
Oil retail,1,NA
Other building materials,42,11
Other Chemicals,81,5
Other coal-related products,8,NA
Other metals production,13,1
Other Mining,23,2
Paper,16,9
Personal Products,32,21
Petrochemicals,90,2
Pharmaceuticals,99,75
Plat.& Precious Metal,2,1
Power generation,135,35
Prop. & Casualty Ins.,29,23
Publishing,14,9
"Real Estate Hold, Dev",94,67
Real Estate Services,7,4
Recreational products and services,15,8
Reinsurance,10,6
Renewable Energy Eq.,19,6
Residential REITs,10,8
Restaurants & Bars,19,14
Retail REITs,23,21
Semiconductors,44,33
Soft Drinks,15,13
Software,36,31
Spec.Consumer Service,15,10
Specialty Chemicals,49,18
Specialty Finance,37,31
Specialty REITs,12,8
Specialty Retailers,25,22
Telecom,10,2
Telecom. Equipment,23,20
Tires,9,7
Tobacco,12,11
Toys,12,10
Transport - Air,29,23
Transport - Cruises,1,NA
Transport - Delivery,9,3
Transport - Ferry,1,NA
Transport - Ports,9,NA
Transport - Public,18,NA
Transport - Rail,18,9
Transport - Shipping,21,8
Transport - Taxi,2,1
Transport - Trucking,10,1
Transport Services,40,31
Travel & Tourism,30,4
"Waste, Disposal Svs.",12,3
Water,15,5
