,ticker,company,ISIN_code,revenue,region_num,region,region_revenue,region_new
1,MS:75408,ABU DHABI COML.BANK,AEA000201011,3443375,1,Domestic,2417808,United_Arab_Emirates
2,MS:6682,ACS ACTIV.CONSTR.Y SERV.,ES0167050915,41904669,1,National_Market,5316218,Spain
3,MS:86471,AGRICULTURAL BK.OF CHIN. 'H',CNE100000Q43,125743813,1,Domestic,77851265,China
4,MS:114750,AGRICULTURAL BANK OF CHINA 'A',CNE100000RJ0,125743813,1,Domestic,77851265,China
5,MS:66999,AMERICAN AIRLINES GROUP,US02376R1023,42207000,1,Domestic,29600000,United_States
6,MS:139,AMERICAN INTL.GP.,US0268747849,49747000,1,Domestic,34149000,United_States
7,MS:51259,ASIAN PAINTS,INE021A01026,2579593,1,Domestic_Operations,2312178,India
8,MS:70471,AXIS BANK,INE238A01034,8968391,1,Domestic,8555365,India
9,MS:70254,BANK RAKYAT INDONESIA,ID1000118201,8619098,1,Domestic,6775246,Indonesia
10,MS:88441,BERLI JUCKER,TH0002010Z06,4576802,1,Country_of_domicile,4769802,Thailand
11,MS:567,CANADIAN UTILITIES 'A',CA1367178326,3214069,1,Domestic,3051250,Canada
12,MS:93480,CD PROJECT RED,PLOPTTC00011,133299,1,Domestic_Sales,7034,Poland
13,MS:61460,CERNER,US1567821046,5040809,1,Domestic,4575171,United_States
14,MS:64323,CHEIL WORLDWIDE,KR7030000004,3152572,1,Domestic,1064819,South_Korea
15,MS:78579,CHINA COAL ENERGY 'H',CNE100000528,12457510,1,Domestic_Markets,12393471,China
16,MS:114782,CHINA CON.BANK 'A',CNE100000742,139013174,1,Domestic,87623233,China
17,MS:75299,CHINA CON.BANK 'H',CNE1000002H1,139013174,1,Domestic,87623233,China
18,MS:114784,CHINA EASTERN AIRL. 'A',CNE000000TR0,15736347,1,Domestic,10430445,China
19,MS:63269,CHINA EASTERN AIRLINES 'H',CNE1000002K5,15736347,1,Domestic,10430445,China
20,MS:74714,CHINA SHENHUA EN.CO.'H',CNE1000002R0,38198129,1,Domestic_Markets,37658202,China
21,MS:114811,CHINA SOUTHERN AIRLINES 'A',CNE000001FG0,19626246,1,Domestic,14279189,China
22,MS:63259,CHINA SOUTHERN AIRL.'H',CNE1000002T6,19626246,1,Domestic,14279189,China
23,MS:60271,COSCO SHIPPING ENERGY TRANSPORT 'H',CNE1000002S8,1459604,1,Domestic,443764,China
24,MS:50260,DAELIM INDUSTRIAL,KR7000210005,11522612,1,Domestic,9536139,South_Korea
25,MS:884,DAIKIN INDUSTRIES,JP3481800005,21537933,1,Domestic,5103195,Japan
26,MS:105604,DAMAC PROPERTIES DUBAI,AED001301012,2029602,1,Domestic,1770910,United_Arab_Emirates
27,MS:80012,DELTA AIR LINES,US2473617023,41244000,1,Domestic,29556000,United_States
28,MS:63508,DELTA ELECTRONICS,TH0528010Z00,1511791,1,Domestic,NA,Thailand
