ISIN_code,company,parent_market,year,revenue,net_income,net_income_margin
AEA000201011,ABU DHABI COML.BANK,Banks,2013,"2,532,814.00","916,230.00",0.36
AEA000201011,ABU DHABI COML.BANK,Banks,2014,"2,513,948.00","1,102,563.00",0.44
AEA000201011,ABU DHABI COML.BANK,Banks,2015,"2,783,061.00","1,305,573.00",0.47
AEA000201011,ABU DHABI COML.BANK,Banks,2016,"3,118,171.00","1,091,946.00",0.35
AEA000201011,ABU DHABI COML.BANK,Banks,2017,"3,443,375.00","1,122,230.00",0.33
AEA002001013,ALDAR PROPERTIES,"Real Estate Hold, Dev",2013,"1,464,678.00","611,570.00",0.42
AEA002001013,ALDAR PROPERTIES,"Real Estate Hold, Dev",2014,"1,783,569.00","608,529.00",0.34
AEA002001013,ALDAR PROPERTIES,"Real Estate Hold, Dev",2015,"1,248,442.00","690,658.00",0.55
AEA002001013,ALDAR PROPERTIES,"Real Estate Hold, Dev",2016,"1,698,236.00","757,533.00",0.45
AEA002001013,ALDAR PROPERTIES,"Real Estate Hold, Dev",2017,"1,682,817.00","543,318.00",0.32
AED000201015,DUBAI ISLAMIC BANK,Banks,2013,"1,362,970.00","438,590.00",0.32
AED000201015,DUBAI ISLAMIC BANK,Banks,2014,"1,618,477.00","724,382.00",0.45
AED000201015,DUBAI ISLAMIC BANK,Banks,2015,"1,897,273.00","866,464.00",0.46
AED000201015,DUBAI ISLAMIC BANK,Banks,2016,"2,234,366.00","843,112.00",0.38
AED000201015,DUBAI ISLAMIC BANK,Banks,2017,"2,679,604.00","1,041,530.00",0.39
AED000601016,DUBAI INVESTMENT,Specialty Finance,2013,"385,717.00","223,882.00",0.58
AED000601016,DUBAI INVESTMENT,Specialty Finance,2014,"419,954.00","365,552.00",0.87
AED000601016,DUBAI INVESTMENT,Specialty Finance,2015,"365,410.00","302,160.00",0.83
AED000601016,DUBAI INVESTMENT,Specialty Finance,2016,"372,308.00","331,704.00",0.89
AED000601016,DUBAI INVESTMENT,Specialty Finance,2017,"329,884.00","272,706.00",0.83
AED001301012,DAMAC PROPERTIES DUBAI,"Real Estate Hold, Dev",2013,"1,224,288.00","641,494.00",0.52
AED001301012,DAMAC PROPERTIES DUBAI,"Real Estate Hold, Dev",2014,"1,018,246.00","948,344.00",0.93
AED001301012,DAMAC PROPERTIES DUBAI,"Real Estate Hold, Dev",2015,"2,323,997.00","1,229,191.00",0.53
AED001301012,DAMAC PROPERTIES DUBAI,"Real Estate Hold, Dev",2016,"1,948,359.00","1,005,913.00",0.52
AED001301012,DAMAC PROPERTIES DUBAI,"Real Estate Hold, Dev",2017,"2,029,602.00","751,407.00",0.37
AEDFXA0M6V00,DP WORLD,Transport Services,2013,"3,073,218.00","639,630.00",0.21
AEDFXA0M6V00,DP WORLD,Transport Services,2014,"3,463,298.00","700,562.00",0.20
AEDFXA0M6V00,DP WORLD,Transport Services,2015,"4,042,854.00","882,919.00",0.22
AEDFXA0M6V00,DP WORLD,Transport Services,2016,"4,231,606.00","1,024,263.00",0.24
AEDFXA0M6V00,DP WORLD,Transport Services,2017,"4,728,973.00","1,176,762.00",0.25
AEE000301011,EMAAR PROPERTIES,"Real Estate Hold, Dev",2013,"2,812,002.00","699,194.00",0.25
AEE000301011,EMAAR PROPERTIES,"Real Estate Hold, Dev",2014,"2,693,483.00","896,594.00",0.33
AEE000301011,EMAAR PROPERTIES,"Real Estate Hold, Dev",2015,"3,719,166.00","1,111,395.00",0.30
AEE000301011,EMAAR PROPERTIES,"Real Estate Hold, Dev",2016,"4,230,877.00","1,424,710.00",0.34
AEE000301011,EMAAR PROPERTIES,"Real Estate Hold, Dev",2017,"5,121,970.00","1,553,111.00",0.30
AEE000401019,EMIRATES TELECOM.,Mobile Telecom.,2013,"10,578,078.00","1,927,143.00",0.18
AEE000401019,EMIRATES TELECOM.,Mobile Telecom.,2014,"13,277,065.00","2,420,904.00",0.18
AEE000401019,EMIRATES TELECOM.,Mobile Telecom.,2015,"14,085,726.00","2,249,587.00",0.16
AEE000401019,EMIRATES TELECOM.,Mobile Telecom.,2016,"14,255,669.00","2,292,772.00",0.16
AEE000401019,EMIRATES TELECOM.,Mobile Telecom.,2017,"14,067,259.00","2,299,173.00",0.16
AEE001501015,EMAAR MALLS GROUP ORD,"Real Estate Hold, Dev",2013,"649,520.00","299,330.00",0.46
AEE001501015,EMAAR MALLS GROUP ORD,"Real Estate Hold, Dev",2014,"733,463.00","367,707.00",0.50
AEE001501015,EMAAR MALLS GROUP ORD,"Real Estate Hold, Dev",2015,"814,779.00","450,938.00",0.55
AEE001501015,EMAAR MALLS GROUP ORD,"Real Estate Hold, Dev",2016,"878,850.00","510,308.00",0.58
AEE001501015,EMAAR MALLS GROUP ORD,"Real Estate Hold, Dev",2017,"988,007.00","567,910.00",0.57
AEE001901017,EMAAR DEVELOPMENT PJSC,"Real Estate Hold, Dev",2013,,,
AEE001901017,EMAAR DEVELOPMENT PJSC,"Real Estate Hold, Dev",2014,"897,800.00","347,302.00",0.39
AEE001901017,EMAAR DEVELOPMENT PJSC,"Real Estate Hold, Dev",2015,"1,466,604.00","474,283.00",0.32
AEE001901017,EMAAR DEVELOPMENT PJSC,"Real Estate Hold, Dev",2016,"1,894,495.00","575,128.00",0.30
AEE001901017,EMAAR DEVELOPMENT PJSC,"Real Estate Hold, Dev",2017,"2,413,127.00","746,736.00",0.31
AEN000101016,FIRST ABU DHABI BANK,Banks,2013,"3,122,883.00","1,288,628.00",0.41
AEN000101016,FIRST ABU DHABI BANK,Banks,2014,"3,536,838.00","1,518,880.00",0.43
AEN000101016,FIRST ABU DHABI BANK,Banks,2015,"3,652,883.00","1,369,620.00",0.37
AEN000101016,FIRST ABU DHABI BANK,Banks,2016,"3,992,556.00","1,364,750.00",0.34
AEN000101016,FIRST ABU DHABI BANK,Banks,2017,"6,067,179.00","2,382,794.00",0.39
AN8068571086,SCHLUMBERGER,Oil Equip. & Services,2013,"46,294,000.00","6,732,000.00",0.15
AN8068571086,SCHLUMBERGER,Oil Equip. & Services,2014,"48,580,000.00","5,438,000.00",0.11
AN8068571086,SCHLUMBERGER,Oil Equip. & Services,2015,"35,475,000.00","2,072,000.00",0.06
AN8068571086,SCHLUMBERGER,Oil Equip. & Services,2016,"27,810,000.00","-1,687,000.00",-0.06
AN8068571086,SCHLUMBERGER,Oil Equip. & Services,2017,"30,440,000.00","-1,429,000.00",-0.05
AT0000606306,RAIFFEISEN BANK INTL.,Banks,2013,"11,678,796.00","492,409.00",0.04
AT0000606306,RAIFFEISEN BANK INTL.,Banks,2014,"9,263,677.00","-596,240.00",-0.06
AT0000606306,RAIFFEISEN BANK INTL.,Banks,2015,"7,591,515.00","411,559.00",0.05
AT0000606306,RAIFFEISEN BANK INTL.,Banks,2016,"6,796,314.00","488,459.00",0.07
AT0000606306,RAIFFEISEN BANK INTL.,Banks,2017,"8,523,255.00","1,316,681.00",0.15
AT0000652011,ERSTE GROUP BANK,Banks,2013,"14,060,498.00","-32,645.00",0.00
AT0000652011,ERSTE GROUP BANK,Banks,2014,"11,097,606.00","-1,744,892.00",-0.16
AT0000652011,ERSTE GROUP BANK,Banks,2015,"10,143,693.00","1,051,753.00",0.10
AT0000652011,ERSTE GROUP BANK,Banks,2016,"9,290,756.00","1,333,972.00",0.14
AT0000652011,ERSTE GROUP BANK,Banks,2017,"10,199,076.00","1,507,354.00",0.15
AT0000730007,ANDRITZ,Industrial Machinery,2013,"7,869,445.00","91,787.00",0.01
AT0000730007,ANDRITZ,Industrial Machinery,2014,"7,090,043.00","255,169.00",0.04
AT0000730007,ANDRITZ,Industrial Machinery,2015,"6,927,816.00","290,800.00",0.04
AT0000730007,ANDRITZ,Industrial Machinery,2016,"6,369,608.00","289,683.00",0.05
AT0000730007,ANDRITZ,Industrial Machinery,2017,"7,071,381.00","315,762.00",0.04
AT0000743059,OMV,Exploration and production,2013,"58,447,452.00","1,601,718.00",0.03
AT0000743059,OMV,Exploration and production,2014,"43,456,735.00","431,990.00",0.01
AT0000743059,OMV,Exploration and production,2015,"24,471,933.00","-1,194,972.00",-0.05
