ISIN_code,company,parent_market,market_cap,total_liabilities,revenue,net_income_margin,mcap_margin,debt_ratio
AEA000201011,ABU DHABI COML.BANK,Banks,9838.119191982685,63063.650863746836,3371.5074471496205,0.326138196181913,0.15877405545278134,0.8650496526427004
AEA002001013,ALDAR PROPERTIES,"Real Estate Hold, Dev",4359.423874052817,3508.7695478505357,1647.6944996377056,0.34439765072377787,0.15345563920235025,0.4459434789799242
AED000201015,DUBAI ISLAMIC BANK,Banks,8729.970650664785,49530.081437124194,2623.677305379726,0.38919398219920553,0.18115685970469594,0.8501551176523142
AED000601016,DUBAI INVESTMENT,Specialty Finance,2244.1826693333937,1246.6472816255239,322.9989073788088,0.9242533408050726,0.42237889273612883,0.3571205985794509
AED001301012,DAMAC PROPERTIES DUBAI,"Real Estate Hold, Dev",3435.048007147523,3059.9408470138283,1987.241661959492,0.3949183665224394,0.10025650800312988,0.47112334073573026
AEDFXA0M6V00,DP WORLD,Transport Services,18285.229339098754,11249.193522249363,4630.27340526939,0.25430855564328253,0.21944233446065425,0.38088414915231855
AEE000301011,EMAAR PROPERTIES,"Real Estate Hold, Dev",9580.74540970287,14668.481473094762,5015.068065220008,0.32345095876730384,0.11080335596053939,0.6049051189957962
AEE000401019,EMIRATES TELECOM.,Mobile Telecom.,39873.4515913175,18790.73001177734,13773.65767001344,0.16816692579419332,0.1619572645982792,0.3203101023195052
AEE001501015,EMAAR MALLS GROUP ORD,"Real Estate Hold, Dev",7181.077095440489,2639.684102125942,967.3860553485914,0.5748036198124102,0.40362423519261775,0.2687861000815346
AEE001901017,EMAAR DEVELOPMENT PJSC,"Real Estate Hold, Dev",5373.889376914762,4791.528076772193,2362.7620144241696,0.3300881151304451,0.13191652066942827,0.47135576070556023
AEN000101016,FIRST ABU DHABI BANK,Banks,36456.135605767355,153977.39109151365,5940.549368479993,0.3975856196247864,0.3378021959294328,0.8085624089516593
AN8068571086,SCHLUMBERGER,Oil Equip. & Services,91504.35949975657,34001.224847632846,29804.67904054437,-0.05390358782729155,0.19167915971473518,0.27091403959779337
AT0000606306,RAIFFEISEN BANK INTL.,Banks,10337.318192049412,146299.4149694317,8345.363983433475,0.2532475495128271,0.11041300629399385,0.9340045084993416
AT0000652011,ERSTE GROUP BANK,Banks,16929.21435562863,238793.64034142558,9986.208498361339,0.1618317246971437,0.10093292896669323,0.9337985868502678
AT0000730007,ANDRITZ,Industrial Machinery,5344.495931947707,5628.450122306154,6923.7924138766,0.07025411031713194,0.06603380035665686,0.5129388310556929
AT0000743059,OMV,Exploration and production,17956.526027643395,22019.812412346255,23775.142535076175,0.023596800893718357,0.04504792784565542,0.5508211424966103
AT0000937503,VOESTALPINE,Iron & Steel,7966.974783741835,10500.707364219375,15531.094877805626,0.08130857334982018,0.03773261290611301,0.5685990954408228
AU000000AGL7,AGL ENERGY,Multiutilities,10315.336751692637,4665.349713480574,9451.011829933059,0.04964989852859912,0.06879250955361399,0.3114242944958819
AU000000ALL7,ARISTOCRAT LEISURE,Gambling,14468.242790553873,1449.842932980552,1892.587327787103,0.26865719334038624,0.5556325429129361,0.09108148794782538
AU000000AMC4,AMCOR,Containers & Package,11962.231303144528,8089.029056753598,9064.584962362187,0.0791758316518463,0.086608242877171,0.4034174865601663
AU000000AMP6,AMP,Life Insurance,7657.7169691900635,106743.23340319784,14038.93497953423,0.06642436461343712,0.042588648086510396,0.933062470685223
AU000000ANZ3,AUS.AND NZ.BANKING GP.,Banks,61107.04320287609,641428.9229334602,30344.849683004377,0.20968265763034197,0.1415576779516049,0.9130193382995889
AU000000APA1,APA GROUP,O&G T&D,8381.185408620675,8475.869116655454,1730.852883198562,0.12655450794610246,0.324223976853274,0.5028084297850732
AU000000AST5,AUSNET SERVICES,Power generation,4113.055498882587,6171.020609323603,1434.3570327274226,0.17819472376817025,0.1820911111119288,0.6000559062762507
AU000000ASX7,ASX,Investment Services,9121.024880691166,7124.843773277002,699.9634747444323,0.5956926324526691,0.9061592280444379,0.43856342341760274
AU000000AWC3,ALUMINA,Aluminum,5907.328509243243,106.91498433486208,0.5972685353065725,566.4934426229507,537.7853350385614,0.01777696304597974
AU000000AZJ1,AURIZON HOLDINGS,Transport - Rail,6347.016064103521,3694.142118634768,2592.794605589391,-0.07163375949932987,0.1751820735036058,0.3679000023110234
AU000000BEN6,BENDIGO & ADELAIDE BANK,Banks,4012.714384951083,50451.25457389999,2264.0668159153706,0.18291182057473018,0.12369247335322088,0.92632350411365
AU000000BHP4,BHP BILLITON,Other Mining,78148.32863481814,48276.721248813315,38131.813604977295,0.16651007273300342,0.12060728486092524,0.3818604089399201
AU000000BLD2,BORAL,Building Mat.& Fix.,5489.318864828355,2867.7506027683835,3197.7522389414753,0.08004348055803219,0.10714263178132925,0.3431526582239921
AU000000BOQ8,BANK OF QLND.,Banks,3118.857961071209,36617.481336243574,1755.104923118248,0.2031988778473925,0.12605724798416168,0.9215111906072845
AU000000BSL0,BLUESCOPE STEEL,Iron & Steel,7154.865818899249,2972.4370900764297,7997.686136001548,0.07585562746146274,0.054886426850480896,0.29350727600356485
AU000000BXB1,BRAMBLES,Containers & Package,10707.791135826375,4836.83138473957,5083.876337873564,0.04610457679931429,0.14735320621610717,0.31115785400001283
AU000000CBA7,COMMONWEALTH BK.OF AUS.,Banks,95936.82637829111,698191.189049201,30952.364800642074,0.3043523404223295,0.21292568933537423,0.8791922404013832
AU000000CCL2,COCA-COLA AMATIL,Soft Drinks,5079.837431794647,3198.506168076207,3847.61173747491,0.12181906324712485,0.09868990818728687,0.3863703082010398
AU000000CGF5,CHALLENGER,Life Insurance,5419.458028772414,15400.325379822118,1481.2641535814096,0.23289260809161924,0.22982304000314674,0.7396967143022617
AU000000CIM7,CIMIC GROUP,Heavy Construction,9965.219894553415,4647.659794419289,10331.774365087269,0.057121647222368156,0.05756405854827413,0.3180522862941618
AU000000COH5,COCHLEAR,Medical Equipment,8301.180798751984,402.915395660321,941.6751135967629,0.21757356965426924,0.5847514579217405,0.04629031971394999
AU000000CPU5,COMPUTERSHARE,Financial Admin.,7221.652190691479,2520.0894005251453,2097.336856462675,0.15754380088581627,0.23315262139189707,0.25868982223849124
AU000000CSL8,CSL,Pharmaceuticals,65779.42599814209,5438.1495965412705,6905.9566046321,0.22478038185888907,0.6035535394065716,0.07635965632263458
AU000000CTX1,CALTEX AUSTRALIA,Oil and gas other,5886.805970718611,2299.9332810249034,16387.118746053184,0.03647448312152722,0.0246253200731797,0.2809339848627878
AU000000CWN6,CROWN RESORTS,Gambling,6726.555740072188,2237.5255729865917,2511.559230886472,0.6298773622788629,0.16438117769774624,0.24961013793203637
AU000000DMP0,DOMINO'S PIZZA ENTS.,Restaurants & Bars,2967.014675078843,549.6486087252034,805.9531824139426,0.12372327744590982,0.25838291443206385,0.15629833292729617
AU000000DXS1,DEXUS,Diversified REITs,7291.836139233736,2638.695182092074,679.7611113198742,1.3967513190474339,0.5832678708427829,0.265715408039193
AU000000FLT9,FLIGHT CENTRE TRAVEL GP.,Travel & Tourism,4786.147764310701,1311.3823786940386,2010.7701257355852,0.11147839162201771,0.1673860656896493,0.21506779760629702
AU000000FMG4,FORTESCUE METALS GP.,Iron & Steel,9908.10731477566,9339.35296682187,8413.201939499348,0.31265654594861536,0.08080115825301076,0.4852252105048484
